 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
1,40.639,35.649,26.115,32.088,27.810,29.865,33.806,29.906,24.611,34.378,49.381,41.568,28.462,28.595,43.278,38.654,36.029,27.923,34.559,26.441,36.846,31.469,36.450,48.056,37.062,30.059,39.812,33.647,24.529,27.941,21.731,25.176,24.419,26.613,26.885,42.062,21.774,21.706,18.969,33.333,30.308,33.765,26.750,25.769,30.333,20.471,14.156,25.613,19.353,24.452
2,38.750,33.649,24.231,31.706,28.333,30.351,35.129,28.781,24.333,34.595,45.429,40.811,28.808,27.514,44.083,38.962,35.676,28.154,34.500,26.941,38.654,32.188,36.300,47.028,36.000,27.941,39.312,33.353,25.206,26.529,21.154,25.265,22.645,28.452,28.423,42.844,23.258,21.559,17.469,33.667,30.423,36.382,27.688,27.423,32.381,20.471,15.844,23.645,18.735,24.387
3,38.722,34.514,26.423,31.941,27.667,30.405,33.806,29.094,24.639,34.189,48.619,41.514,27.308,27.595,46.500,40.154,35.118,28.577,33.353,26.176,38.462,33.781,34.050,48.278,38.562,27.853,38.688,31.941,24.765,25.647,21.769,25.529,23.194,27.452,28.385,41.781,24.387,23.118,18.000,33.762,27.769,36.206,27.938,26.885,32.048,21.824,15.844,25.452,19.765,23.677
4,39.444,33.108,25.769,33.412,25.619,31.838,34.677,29.406,25.167,34.405,46.048,41.459,28.923,26.784,44.750,40.308,36.265,27.346,35.176,26.353,37.923,31.656,36.350,45.139,36.250,29.176,39.438,35.059,25.824,26.000,24.038,24.647,23.355,27.903,26.308,41.812,22.903,22.000,18.625,32.762,29.192,34.853,28.000,26.038,31.095,21.265,16.938,24.645,18.353,24.161
5,38.917,34.108,24.462,31.147,27.286,29.838,34.129,28.406,25.500,34.838,47.905,41.000,30.000,28.622,45.556,40.654,36.059,28.269,35.588,26.147,39.385,34.281,35.700,46.639,36.531,29.118,40.812,34.765,24.147,27.088,21.615,25.971,23.065,26.452,28.962,41.125,24.355,22.118,17.781,32.667,28.808,37.324,28.688,26.962,30.238,21.794,16.375,25.000,18.235,23.613
6,35.778,33.459,25.885,31.735,29.048,29.811,35.548,28.062,25.250,35.892,44.667,41.757,28.654,28.865,44.833,39.615,37.500,28.000,35.882,24.647,37.962,32.812,33.050,45.694,36.375,28.676,40.062,35.412,25.029,27.147,22.731,25.676,21.323,27.226,28.077,42.125,23.935,22.235,16.094,34.048,30.885,33.647,27.375,26.692,31.429,21.029,17.750,24.065,19.529,23.871
7,38.111,33.324,26.346,31.500,28.905,31.324,34.774,27.625,25.389,33.054,46.286,41.459,29.115,28.135,45.333,39.538,35.618,28.615,36.118,25.706,39.538,32.594,35.850,46.417,35.938,29.059,39.438,31.676,24.206,25.647,21.269,25.176,22.452,26.806,26.231,41.531,23.968,22.529,18.125,31.619,33.192,35.500,27.938,26.654,31.952,20.471,15.344,23.581,17.735,24.387
8,38.917,34.297,24.769,30.206,28.476,29.324,37.548,28.000,26.389,35.135,45.905,41.000,29.077,28.595,45.222,40.885,35.853,27.808,39.265,26.824,38.385,34.844,37.900,46.167,38.281,29.088,42.938,35.059,24.412,26.235,22.346,25.765,22.548,27.613,26.615,42.625,22.323,23.647,19.094,36.429,34.923,36.324,28.250,26.577,30.000,22.029,16.625,23.677,20.441,24.677
9,38.528,35.243,27.731,32.324,28.857,29.000,33.839,28.750,24.583,34.189,49.238,40.838,28.769,28.649,45.278,39.500,35.676,28.038,40.706,25.324,37.654,33.125,35.950,48.722,37.469,30.206,40.812,33.588,24.618,26.059,20.654,25.412,22.452,27.935,28.423,43.062,23.194,20.265,17.594,33.571,35.885,33.735,28.812,28.000,33.381,22.294,15.750,25.516,19.559,22.387
10,36.944,36.108,26.308,31.529,28.238,29.297,31.968,27.938,24.111,35.703,48.333,41.541,29.269,26.757,47.444,41.077,35.941,29.923,44.441,27.206,37.962,33.562,35.400,44.833,37.344,28.353,38.562,34.853,23.676,26.735,23.154,26.882,22.097,26.323,27.000,41.469,22.581,21.265,18.125,30.095,38.423,36.176,27.688,27.385,32.905,21.794,16.000,23.258,18.941,23.323
11,37.417,33.757,22.731,31.559,27.333,30.108,34.742,27.469,23.889,35.892,47.762,40.865,28.154,28.865,44.972,39.538,35.912,28.846,44.059,26.882,38.923,33.031,34.950,47.694,36.031,28.147,41.562,34.735,25.147,26.147,20.038,26.735,22.290,27.161,27.846,41.250,23.097,21.265,17.031,34.476,34.769,35.794,27.750,26.846,32.429,20.647,15.688,23.419,19.059,24.613
12,37.444,33.703,27.231,32.500,27.619,29.270,35.161,28.375,24.333,34.297,47.619,40.595,29.038,29.000,44.139,39.000,36.353,28.500,42.324,27.235,38.308,32.500,33.600,44.861,35.562,28.794,40.938,34.794,24.059,27.029,23.231,24.059,21.774,26.774,26.731,42.656,23.581,21.588,17.594,31.714,36.154,35.588,27.625,27.577,32.048,22.353,15.594,23.161,18.529,23.613
13,39.611,34.514,25.923,31.176,27.667,29.216,34.645,30.094,25.750,35.324,47.333,41.676,27.269,27.703,45.333,39.115,36.941,28.615,44.765,26.382,39.038,31.781,36.100,47.222,36.594,26.912,39.125,34.294,24.529,27.853,19.538,26.382,22.903,26.548,26.346,41.125,22.065,21.853,17.188,34.619,36.038,36.412,27.125,25.885,33.190,21.029,15.344,23.065,20.059,24.323
14,38.639,35.243,24.385,32.412,25.952,29.027,34.742,28.656,24.472,33.865,46.524,42.000,29.115,28.081,45.889,38.231,35.088,29.308,42.912,27.529,40.192,32.750,35.200,46.028,37.281,29.382,38.125,34.118,23.176,24.853,22.192,25.118,22.677,27.355,25.731,42.781,22.968,20.912,17.562,34.857,34.692,35.882,27.938,28.615,29.429,21.735,15.438,23.129,19.735,22.710
15,38.000,35.676,26.000,30.794,29.524,29.054,34.484,29.531,25.417,33.514,48.905,41.784,26.808,27.216,43.167,41.231,37.647,27.577,42.324,27.971,39.346,32.406,34.850,47.306,37.844,29.147,38.438,33.000,25.176,26.912,21.577,24.853,22.194,27.226,27.923,41.594,21.581,22.118,17.781,35.143,33.115,35.500,28.375,26.231,32.143,21.000,15.281,24.194,18.588,24.387
16,39.556,33.919,25.000,30.647,26.238,28.703,33.452,29.938,26.056,34.649,48.857,42.676,30.154,28.432,44.556,41.423,36.412,28.038,40.206,26.824,38.423,32.625,34.200,46.278,37.906,26.588,42.438,33.853,25.824,26.676,21.077,26.176,22.774,26.710,27.731,42.469,22.000,24.382,17.906,31.762,33.962,36.029,26.938,28.500,29.476,20.882,14.688,23.903,19.559,25.387
17,37.611,34.838,26.769,30.676,28.286,32.027,34.161,30.469,23.722,33.000,49.238,41.459,29.000,29.243,44.111,41.115,36.353,26.654,42.324,25.118,37.385,33.969,35.000,47.389,35.969,27.147,37.375,33.000,25.176,27.529,23.269,25.676,22.677,28.452,28.192,44.031,24.387,23.265,18.219,31.381,33.077,37.676,26.375,27.923,27.810,21.294,14.938,23.097,19.000,22.258
18,38.028,37.189,25.077,33.176,26.810,29.649,34.226,29.281,25.389,34.162,48.619,41.000,29.231,28.892,44.056,41.808,36.265,27.077,42.912,26.676,38.385,33.875,34.450,48.528,36.219,29.647,41.375,34.765,24.971,27.912,21.577,25.294,21.323,26.484,28.077,43.719,22.806,21.382,17.531,33.952,33.423,36.324,27.875,26.154,31.000,22.794,15.031,24.323,18.882,23.032
19,40.444,37.162,26.808,31.500,28.143,31.189,35.226,29.125,24.917,34.000,48.762,40.108,28.538,28.054,43.389,41.654,35.912,29.885,42.324,25.676,36.462,32.906,34.750,45.000,38.062,29.324,41.062,34.765,25.176,27.059,21.808,24.853,23.613,26.581,26.308,43.812,23.355,23.029,17.344,32.429,32.731,34.059,26.750,27.769,30.524,20.441,15.031,23.355,18.765,23.742
20,38.833,35.892,28.038,33.324,27.524,29.973,35.613,29.031,25.750,34.784,49.857,39.730,28.154,28.703,43.722,38.615,37.206,27.192,40.735,27.265,38.231,32.938,33.700,45.111,37.469,28.000,42.375,33.882,23.912,25.912,22.577,25.324,22.677,26.581,29.577,43.406,25.129,21.706,17.750,35.524,32.423,36.029,28.188,26.615,30.857,21.088,15.125,23.323,20.059,23.097
21,37.167,37.432,25.731,30.882,27.048,29.054,35.581,29.844,24.222,36.243,49.333,39.730,28.231,29.108,46.167,38.577,37.000,26.462,41.559,27.059,37.731,33.219,33.250,45.861,36.469,27.588,39.812,34.265,25.176,27.176,22.692,24.382,24.419,26.806,25.885,41.188,22.516,22.059,18.219,35.095,33.423,37.382,26.750,26.731,30.333,21.824,16.250,24.065,17.765,23.645
22,39.028,38.351,25.192,32.647,26.810,28.162,33.581,29.406,25.917,35.027,46.333,40.757,30.385,27.270,44.667,40.577,36.059,27.115,40.529,26.912,36.846,32.469,35.350,45.306,38.188,27.029,40.500,34.353,25.824,26.471,20.077,24.882,24.129,27.484,27.385,42.812,22.645,22.265,18.250,32.810,33.923,35.647,29.625,26.500,29.667,21.794,15.594,24.161,20.088,24.032
23,38.806,37.216,26.500,32.765,27.238,30.081,34.032,29.344,24.111,35.622,47.333,42.486,27.154,28.946,43.694,41.769,35.676,29.462,40.353,25.941,38.654,31.844,33.700,44.528,37.969,26.971,39.125,34.206,23.529,26.118,22.462,26.441,25.516,27.548,26.231,41.281,24.323,21.882,18.781,32.000,31.462,33.471,24.812,28.308,30.810,21.441,17.594,23.516,19.206,22.871
24,38.417,36.757,26.500,30.735,27.667,30.324,34.000,29.469,25.500,34.730,45.571,40.297,28.731,28.757,45.889,40.423,35.265,29.000,39.529,26.412,39.500,33.094,33.150,43.194,37.000,28.706,39.000,33.412,24.294,27.294,21.269,26.676,24.677,28.258,26.885,41.438,21.871,23.235,17.406,33.714,35.846,35.676,30.188,26.731,30.238,20.588,17.031,23.387,19.088,22.097
25,38.472,37.865,25.885,32.676,28.762,29.919,34.968,29.094,27.250,34.676,45.857,41.108,27.462,28.432,44.194,38.038,36.176,28.615,41.324,27.176,39.423,33.125,35.150,44.194,35.969,28.029,40.250,33.559,25.324,27.176,20.500,24.147,23.871,26.968,27.500,43.844,23.839,21.265,16.062,35.571,32.154,34.882,28.938,27.885,31.952,20.029,16.500,24.613,19.912,22.935
26,39.194,38.811,23.346,32.912,28.048,30.405,35.032,30.688,26.028,34.405,45.476,42.081,27.692,28.432,44.583,39.000,35.176,29.192,41.206,26.235,37.885,33.219,34.750,43.833,36.188,28.029,40.875,34.324,25.324,27.441,22.538,25.324,24.903,27.032,26.923,40.594,22.645,22.618,19.219,31.381,35.000,34.735,27.125,29.038,31.762,22.588,16.219,26.161,18.471,25.323
27,39.556,38.432,26.923,31.559,27.619,30.432,34.871,29.656,25.389,32.270,44.048,41.243,30.538,28.432,43.778,39.962,35.088,28.308,42.941,26.794,38.500,31.750,34.150,44.639,36.844,27.206,40.438,35.706,25.353,26.618,20.423,26.559,24.806,27.290,28.731,42.219,21.774,21.324,19.094,34.952,34.000,35.353,27.750,27.192,30.286,20.853,16.688,23.677,20.441,23.774
28,39.444,37.622,25.962,32.794,27.095,30.351,34.548,29.781,26.028,34.108,48.619,40.973,29.192,28.649,46.722,38.423,36.588,29.000,43.294,24.441,38.731,33.125,35.200,43.389,36.500,28.853,42.312,33.912,24.294,26.294,21.846,26.176,25.613,27.935,29.538,41.594,24.226,21.971,18.500,32.571,35.500,36.676,25.688,28.231,31.429,20.500,15.281,24.097,19.353,23.968
29,39.167,38.865,26.538,31.382,28.000,30.270,33.129,28.969,26.028,35.027,48.905,42.270,29.231,29.486,44.250,39.154,35.500,28.077,43.529,25.529,38.423,34.125,33.800,45.222,35.406,28.441,41.562,33.765,24.000,26.324,22.731,24.118,25.516,26.290,26.231,40.250,21.742,21.824,18.594,31.905,34.038,35.912,28.500,25.500,33.571,21.412,16.000,24.774,18.324,24.032
30,38.278,37.919,25.962,31.618,27.714,30.297,34.484,28.219,24.472,35.054,45.476,41.378,28.308,27.622,44.722,38.115,35.382,26.808,42.147,26.794,36.577,33.500,35.550,43.694,34.562,27.412,39.062,32.912,25.882,25.765,21.346,26.735,24.032,27.323,29.308,42.156,22.645,21.765,18.125,32.476,33.192,35.676,26.375,26.231,32.333,21.735,16.094,23.774,18.618,24.323
